timestamp,anomaly_alerts,CENTOS@HIST,CENTOS@SPS,COMPOSITION@SPS,JVM@HIST,JVM@SPS,UNIX_NETWORK@SPS,details
54.0,4,0,2,2,0,0,0,SPSDetector@Activated Virtual Pages|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Activated Virtual Pages#PLAIN#CENTOS)|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Cached Memory#PLAIN#CENTOS)|SPSDetector@Cached Memory|
55.0,2,0,1,1,0,0,0,SPSDetector@CPU User Processes|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(CPU User Processes#PLAIN#CENTOS)|
56.0,0,0,0,0,0,0,0,
57.0,0,0,0,0,0,0,0,
58.0,0,0,0,0,0,0,0,
59.0,0,0,0,0,0,0,0,
60.0,0,0,0,0,0,0,0,
61.0,0,0,0,0,0,0,0,
62.0,3,0,1,1,0,1,0,SPSDetector@ProcessCpuLoad|SPSDetector@PageOut|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|
63.0,2,0,1,1,0,0,0,SPSDetector@PageOut|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|
64.0,0,0,0,0,0,0,0,
65.0,0,0,0,0,0,0,0,
66.0,0,0,0,0,0,0,0,
67.0,0,0,0,0,0,0,0,
68.0,5,1,2,2,0,0,0,SPSDetector@Buffers|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Buffers#PLAIN#CENTOS)|SPSDetector@PageOut|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(PageOut#PLAIN#CENTOS)|HistoricalIndicatorChecker@CPU I/O Wait Processes|
69.0,1,0,0,0,1,0,0,HistoricalIndicatorChecker@SystemCpuLoad|
70.0,2,0,1,1,0,0,0,SPSDetector@Buffers|SPSDetector@(CPU Niced Processes#PLAIN#CENTOS)/(Buffers#PLAIN#CENTOS)|
71.0,0,0,0,0,0,0,0,
72.0,0,0,0,0,0,0,0,
73.0,0,0,0,0,0,0,0,
