data_series,algorithm_type,reputation_score,metric_score(FScore(2.0)),configuration
HeapMemoryUsage.committed#DIFFERENCE#JVM,SPS,1.0,0.14854299928926795,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=10&pds=0.9999&n=10&
(HeapMemoryUsage.committed#DIFFERENCE#JVM)+(NonHeapMemoryUsage.committed#DIFFERENCE#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.14854299928926795,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=10&pds=0.9999&n=10&
(HeapMemoryUsage.committed#DIFFERENCE#JVM)-(NonHeapMemoryUsage.committed#DIFFERENCE#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.14854299928926795,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=10&pds=0.9999&n=10&
(HeapMemoryUsage.committed#DIFFERENCE#JVM)+(NonHeapMemoryUsage.committed#DIFFERENCE#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.14854299928926795,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=10&pds=0.9999&n=10&
(HeapMemoryUsage.committed#DIFFERENCE#JVM)-(NonHeapMemoryUsage.committed#DIFFERENCE#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.14854299928926795,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=10&pds=0.9999&n=10&
(HeapMemoryUsage.committed#DIFFERENCE#JVM)/(NonHeapMemoryUsage.committed#DIFFERENCE#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.14854299928926795,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=10&pds=0.9999&n=10&
(HeapMemoryUsage.committed#PLAIN#JVM)+(NonHeapMemoryUsage.committed#PLAIN#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.14854299928926795,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=10&pds=0.9999&n=10&
(HeapMemoryUsage.committed#PLAIN#JVM)-(NonHeapMemoryUsage.committed#PLAIN#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.14854299928926795,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=10&pds=0.9999&n=10&
(HeapMemoryUsage.committed#PLAIN#JVM)/(NonHeapMemoryUsage.committed#PLAIN#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.14854299928926795,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=10&pds=0.9999&n=10&
CPU Kernel Processes#PLAIN#CENTOS,SPS,1.0,0.14065747111465488,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=10&pds=0.9999&n=10&
(SystemCpuLoad#PLAIN#JVM)+(ProcessCpuLoad#PLAIN#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.13961425122531357,pdv=0.99&pos=0.99&pov=0.99&dweight=1&m=40&pds=0.99&n=40&
(Tcp_TimeWait#PLAIN#UNIX_NETWORK)-(SystemCpuLoad#PLAIN#JVM)#PLAIN#COMPOSITION,HIST,1.0,0.13347412020192947,interval_width=2.5&
(Tcp_TimeWait#PLAIN#UNIX_NETWORK)+(SystemCpuLoad#PLAIN#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.13125499679378888,pdv=0.99&pos=0.99&pov=0.99&dweight=0&m=40&pds=0.99&n=40&
(Tcp_TimeWait#PLAIN#UNIX_NETWORK)-(SystemCpuLoad#PLAIN#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.13039026625505995,pdv=0.99&pos=0.99&pov=0.99&dweight=1&m=40&pds=0.99&n=40&
(Net_Received#DIFFERENCE#UNIX_NETWORK)-(Tcp_Established#DIFFERENCE#UNIX_NETWORK)#PLAIN#COMPOSITION,HIST,1.0,0.12883983859504322,interval_width=1.0&
(Net_Received#DIFFERENCE#UNIX_NETWORK)-(Tcp_Established#DIFFERENCE#UNIX_NETWORK)#DIFFERENCE#COMPOSITION,HIST,1.0,0.12883983859504322,interval_width=1.0&
(Net_Received#PLAIN#UNIX_NETWORK)-(Tcp_Established#PLAIN#UNIX_NETWORK)#DIFFERENCE#COMPOSITION,HIST,1.0,0.12883983859504322,interval_width=1.0&
(SystemCpuLoad#DIFFERENCE#JVM)/(ProcessCpuLoad#DIFFERENCE#JVM)#PLAIN#COMPOSITION,HIST,1.0,0.1271836012091861,interval_width=0.5&
HeapMemoryUsage.committed#PLAIN#JVM,SPS,1.0,0.1261549395877754,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=20&pds=0.9999&n=20&
(HeapMemoryUsage.committed#PLAIN#JVM)+(NonHeapMemoryUsage.committed#PLAIN#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.1261549395877754,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=20&pds=0.9999&n=20&
(HeapMemoryUsage.committed#PLAIN#JVM)-(NonHeapMemoryUsage.committed#PLAIN#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.1261549395877754,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=20&pds=0.9999&n=20&
(HeapMemoryUsage.committed#PLAIN#JVM)/(NonHeapMemoryUsage.committed#PLAIN#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.1261549395877754,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=20&pds=0.9999&n=20&
SystemCpuLoad#PLAIN#JVM,SPS,1.0,0.125847019876293,pdv=0.99&pos=0.99&pov=0.99&dweight=1&m=40&pds=0.99&n=40&
(Tcp_TimeWait#DIFFERENCE#UNIX_NETWORK)-(SystemCpuLoad#DIFFERENCE#JVM)#PLAIN#COMPOSITION,HIST,1.0,0.12405145324850037,interval_width=0.5&
(Tcp_TimeWait#DIFFERENCE#UNIX_NETWORK)-(SystemCpuLoad#DIFFERENCE#JVM)#DIFFERENCE#COMPOSITION,HIST,1.0,0.12405145324850037,interval_width=0.5&
(Tcp_TimeWait#PLAIN#UNIX_NETWORK)-(SystemCpuLoad#PLAIN#JVM)#DIFFERENCE#COMPOSITION,HIST,1.0,0.12405145324850037,interval_width=0.5&
(Net_Received#PLAIN#UNIX_NETWORK)-(Tcp_Established#PLAIN#UNIX_NETWORK)#PLAIN#COMPOSITION,HIST,1.0,0.12337176898343079,interval_width=0.5&
Net_Received#PLAIN#UNIX_NETWORK,HIST,1.0,0.12094577339435299,interval_width=1.5&
(CurrentThreadUserTime#PLAIN#JVM)-(FreePhysicalMemorySize#PLAIN#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.11894607698748602,pdv=0.999&pos=0.999&pov=0.999&dweight=1&m=20&pds=0.999&n=20&
(CurrentThreadCpuTime#DIFFERENCE#JVM)+(CurrentThreadUserTime#DIFFERENCE#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.11713572259931022,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=40&pds=0.9999&n=40&
(CurrentThreadCpuTime#DIFFERENCE#JVM)+(CurrentThreadUserTime#DIFFERENCE#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.11713572259931022,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=40&pds=0.9999&n=40&
Net_Received#DIFFERENCE#UNIX_NETWORK,HIST,1.0,0.11690898858504,interval_width=0.5&
(CPU Kernel Processes#DIFFERENCE#CENTOS)/(Activated Virtual Pages#DIFFERENCE#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.11585656076437464,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=30&pds=0.9999&n=30&
(SystemCpuLoad#PLAIN#JVM)-(ProcessCpuLoad#PLAIN#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.11255017752811292,pdv=0.99&pos=0.99&pov=0.99&dweight=1&m=40&pds=0.99&n=40&
(CPU User Processes#DIFFERENCE#CENTOS)/(CPU Interrupts#DIFFERENCE#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.10999060933213697,pdv=0.99&pos=0.99&pov=0.99&dweight=1&m=40&pds=0.99&n=40&
CurrentThreadCpuTime#DIFFERENCE#JVM,SPS,1.0,0.10972021101520661,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=20&pds=0.9999&n=20&
(CPU Idle Processes#DIFFERENCE#CENTOS)-(SystemCpuLoad#PLAIN#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.10949865222137758,pdv=0.99&pos=0.99&pov=0.99&dweight=0&m=20&pds=0.99&n=20&
(Net_Received#DIFFERENCE#UNIX_NETWORK)+(Tcp_Established#DIFFERENCE#UNIX_NETWORK)#PLAIN#COMPOSITION,HIST,1.0,0.10928245144491919,interval_width=0.5&
(Net_Received#DIFFERENCE#UNIX_NETWORK)+(Tcp_Established#DIFFERENCE#UNIX_NETWORK)#DIFFERENCE#COMPOSITION,HIST,1.0,0.10928245144491919,interval_width=0.5&
(Net_Received#PLAIN#UNIX_NETWORK)+(Tcp_Established#PLAIN#UNIX_NETWORK)#DIFFERENCE#COMPOSITION,HIST,1.0,0.10928245144491919,interval_width=0.5&
(CPU Idle Processes#DIFFERENCE#CENTOS)-(SystemCpuLoad#PLAIN#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.10922428874464361,pdv=0.99&pos=0.99&pov=0.99&dweight=0&m=20&pds=0.99&n=20&
CPU Idle Processes#DIFFERENCE#CENTOS,SPS,1.0,0.10840426971844187,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=40&pds=0.9999&n=40&
(CPU I/O Wait Processes#PLAIN#CENTOS)+(CPU Idle Processes#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.10805909821378144,pdv=0.999&pos=0.999&pov=0.999&dweight=0&m=20&pds=0.999&n=20&
(CurrentThreadUserTime#PLAIN#JVM)+(FreePhysicalMemorySize#PLAIN#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.10745191394595303,pdv=0.99&pos=0.99&pov=0.99&dweight=1&m=20&pds=0.99&n=20&
(CPU I/O Wait Processes#PLAIN#CENTOS)-(CPU Idle Processes#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.10670685530038146,pdv=0.999&pos=0.999&pov=0.999&dweight=0&m=20&pds=0.999&n=20&
(Inactive Files#DIFFERENCE#CENTOS)/(Activated Virtual Pages#DIFFERENCE#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.10572135777186376,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=20&pds=0.9999&n=20&
(CPU Idle Processes#DIFFERENCE#CENTOS)+(SystemCpuLoad#PLAIN#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.10538693089175966,pdv=0.99&pos=0.99&pov=0.99&dweight=1&m=40&pds=0.99&n=40&
Inactive Files#DIFFERENCE#CENTOS,SPS,1.0,0.10536599174485593,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=20&pds=0.9999&n=20&
(CPU Idle Processes#DIFFERENCE#CENTOS)+(SystemCpuLoad#PLAIN#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.10507598561812782,pdv=0.99&pos=0.99&pov=0.99&dweight=1&m=40&pds=0.99&n=40&
(CPU User Processes#DIFFERENCE#CENTOS)-(CPU Interrupts#DIFFERENCE#CENTOS)#PLAIN#COMPOSITION,SPS,1.0,0.10407742925302185,pdv=0.99&pos=0.99&pov=0.99&dweight=0&m=20&pds=0.99&n=20&
(CPU User Processes#DIFFERENCE#CENTOS)-(CPU Interrupts#DIFFERENCE#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.10407742925302185,pdv=0.99&pos=0.99&pov=0.99&dweight=0&m=20&pds=0.99&n=20&
(Net_Received#PLAIN#UNIX_NETWORK)+(Tcp_Established#PLAIN#UNIX_NETWORK)#PLAIN#COMPOSITION,HIST,1.0,0.10271701193019185,interval_width=0.5&
CPU User Processes#DIFFERENCE#CENTOS,SPS,1.0,0.10229732062422323,pdv=0.99&pos=0.99&pov=0.99&dweight=1&m=40&pds=0.99&n=40&
(CPU User Processes#DIFFERENCE#CENTOS)+(CPU Interrupts#DIFFERENCE#CENTOS)#PLAIN#COMPOSITION,SPS,1.0,0.10198637535059138,pdv=0.99&pos=0.99&pov=0.99&dweight=1&m=40&pds=0.99&n=40&
(CPU User Processes#DIFFERENCE#CENTOS)+(CPU Interrupts#DIFFERENCE#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.10198637535059138,pdv=0.99&pos=0.99&pov=0.99&dweight=1&m=40&pds=0.99&n=40&
(Inactive Memory#DIFFERENCE#CENTOS)/(Activated Virtual Pages#DIFFERENCE#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.10079849310360837,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=20&pds=0.9999&n=20&
Inactive Memory#DIFFERENCE#CENTOS,SPS,1.0,0.10061748343708109,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(CurrentThreadUserTime#PLAIN#JVM)/(FreePhysicalMemorySize#PLAIN#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.09935074953091282,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
CPU Kernel Processes#DIFFERENCE#CENTOS,SPS,1.0,0.09913457000488551,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(Inactive Memory#DIFFERENCE#CENTOS)+(Activated Virtual Pages#DIFFERENCE#CENTOS)#PLAIN#COMPOSITION,SPS,1.0,0.09866782735411728,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=20&pds=0.9999&n=20&
(Inactive Memory#DIFFERENCE#CENTOS)+(Activated Virtual Pages#DIFFERENCE#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.09866782735411728,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=20&pds=0.9999&n=20&
(Active Files#PLAIN#CENTOS)+(Inactive Files#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.09741735079319627,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(Inactive Memory#DIFFERENCE#CENTOS)-(Activated Virtual Pages#DIFFERENCE#CENTOS)#PLAIN#COMPOSITION,SPS,1.0,0.09701224720833929,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(Inactive Memory#DIFFERENCE#CENTOS)-(Activated Virtual Pages#DIFFERENCE#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.09701224720833929,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(SystemCpuLoad#PLAIN#JVM)/(ProcessCpuLoad#PLAIN#JVM)#PLAIN#COMPOSITION,HIST,1.0,0.09629052638620997,interval_width=0.5&
(Free Virtual Pages#PLAIN#CENTOS)+(Minor Page Faults#PLAIN#CENTOS)#PLAIN#COMPOSITION,SPS,1.0,0.09418727161222638,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(SystemCpuLoad#PLAIN#JVM)/(ProcessCpuLoad#PLAIN#JVM)#DIFFERENCE#COMPOSITION,HIST,1.0,0.09375106956476327,interval_width=0.5&
(SystemCpuLoad#DIFFERENCE#JVM)/(ProcessCpuLoad#DIFFERENCE#JVM)#DIFFERENCE#COMPOSITION,HIST,1.0,0.09375106956476327,interval_width=0.5&
CPU Interrupts#PLAIN#CENTOS,SPS,1.0,0.09331133211730226,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=30&pds=0.9999&n=30&
(Free Virtual Pages#PLAIN#CENTOS)-(Minor Page Faults#PLAIN#CENTOS)#PLAIN#COMPOSITION,SPS,1.0,0.09138160860326948,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(Free Virtual Pages#PLAIN#CENTOS)/(Minor Page Faults#PLAIN#CENTOS)#PLAIN#COMPOSITION,SPS,1.0,0.09051212896751097,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(CPU Idle Processes#PLAIN#CENTOS)/(Minor Page Faults#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.0902450504530795,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(Active Files#PLAIN#CENTOS)/(Inactive Files#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.08900161528495831,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(CPU Idle Processes#PLAIN#CENTOS)-(Minor Page Faults#PLAIN#CENTOS)#PLAIN#COMPOSITION,SPS,1.0,0.0889558464257443,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
Free Virtual Pages#PLAIN#CENTOS,SPS,1.0,0.08745397723027747,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=10&pds=0.9999&n=10&
(CPU Idle Processes#PLAIN#CENTOS)-(Minor Page Faults#PLAIN#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.08528920869149663,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(CPU Idle Processes#DIFFERENCE#CENTOS)/(SystemCpuLoad#PLAIN#JVM)#DIFFERENCE#COMPOSITION,SPS,1.0,0.08442782752368723,pdv=0.999&pos=0.999&pov=0.999&dweight=0&m=40&pds=0.999&n=40&
(Buffers#PLAIN#CENTOS)-(Minor Page Faults#PLAIN#CENTOS)#PLAIN#COMPOSITION,SPS,1.0,0.08396132519582104,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(Buffers#PLAIN#CENTOS)/(Minor Page Faults#PLAIN#CENTOS)#PLAIN#COMPOSITION,SPS,1.0,0.08385914980970709,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(Buffers#PLAIN#CENTOS)+(Minor Page Faults#PLAIN#CENTOS)#PLAIN#COMPOSITION,SPS,1.0,0.08383178101250965,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
Minor Page Faults#PLAIN#CENTOS,SPS,1.0,0.08262420761155535,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
HeapMemoryUsage.used#PLAIN#JVM,SPS,1.0,0.08195038792053717,pdv=0.999&pos=0.999&pov=0.999&dweight=0&m=40&pds=0.999&n=40&
(HeapMemoryUsage.used#PLAIN#JVM)+(NonHeapMemoryUsage.used#PLAIN#JVM)#PLAIN#COMPOSITION,SPS,1.0,0.08195038792053717,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=0&m=30&pds=0.9999&n=30&
(Cached Memory#DIFFERENCE#CENTOS)-(Activated Virtual Pages#DIFFERENCE#CENTOS)#PLAIN#COMPOSITION,SPS,1.0,0.08178165658697781,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
(Cached Memory#DIFFERENCE#CENTOS)-(Activated Virtual Pages#DIFFERENCE#CENTOS)#DIFFERENCE#COMPOSITION,SPS,1.0,0.08178165658697781,pdv=0.9999&pos=0.9999&pov=0.9999&dweight=1&m=10&pds=0.9999&n=10&
